,rowid,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,predicted
402,403,2853446,CANDIDATE,7.37290344,137.60991,0.993,2.1719999999999997,205.0,2.67,1004.0,240.11,19.1,5973.0,4.371,1.07,291.65097000000003,38.028178999999994,13.835,0
404,405,3942446,CANDIDATE,119.0624882,149.22223,0.968,3.1188,5370.0,10.4,366.0,4.26,71.6,5697.0,4.3919999999999995,0.92,287.88812,39.078709,15.289000000000001,0
415,416,6124941,CANDIDATE,5.670155713,136.201739,1.2670000000000001,0.9361,537.0,5.85,341.0,3.21,37.3,3337.0,5.126,0.183,292.26181,41.442554,13.783,0
428,429,4061149,CANDIDATE,2.757584622,133.05017,0.09300000000000001,0.9267,563.0,1.01,615.0,33.79,19.6,3683.0,4.84,0.424,292.57703,39.12088,15.597000000000001,0
432,433,10743597,CANDIDATE,16.15811112,143.00233,1.8572,6.0489999999999995,2320.0,86.13,660.0,44.83,52.8,5619.0,4.5360000000000005,0.8740000000000001,296.38229,48.045311,15.488,1
442,443,8218274,CANDIDATE,1.187352427,133.465454,1.222,4.999,20700.0,67.35,2251.0,6067.3,717.4,6424.0,4.186,1.489,285.06335,44.167885,13.623,1
452,453,3859628,CANDIDATE,8.17242644,361.20157,0.9259999999999999,3.9019999999999997,864.0,3.29,858.0,127.95,37.0,5705.0,4.499,0.905,293.87363,38.922482,15.24,0
453,454,3644071,CANDIDATE,1295.362215,176.10646,1.3935,28.296999999999997,8710.0,57.82,169.0,0.19,164.0,5609.0,4.346,1.048,291.03217,38.703911,14.215,1
455,456,1431122,CANDIDATE,4.298920099999999,132.86186999999998,0.972,2.747,238.0,2.12,1046.0,283.62,20.0,5300.0,4.385,0.986,291.14249,37.061321,14.613,0
461,462,8260218,CANDIDATE,5.714817602999999,355.00831,0.096,3.14126,12300.0,9.29,943.0,187.27,537.7,5695.0,4.526,0.8420000000000001,299.78632000000005,44.169540000000005,15.623,0
466,467,6359320,CANDIDATE,2.83668931,353.81531,0.33,3.031,166.0,1.19,1242.0,562.48,12.1,5831.0,4.5169999999999995,0.9209999999999999,290.21518,41.77597,15.808,1
483,484,12105051,CANDIDATE,2.624234833,132.30498799999998,0.7809999999999999,1.3874,2610.0,5.11,1164.0,434.31,361.1,5340.0,4.513999999999999,0.899,288.0383,50.651610999999995,13.687000000000001,0
486,487,8240904,CANDIDATE,92.77779,367.6112,0.0174,6.64,359.0,1.92,410.0,6.7,5.2,5888.0,4.444,1.0190000000000001,294.48438,44.166908,15.59,1
497,498,3756801,CANDIDATE,422.917678,448.49647999999996,0.7887,31.274,1370.0,5.89,292.0,1.73,61.7,5796.0,4.12,1.444,293.95459,38.899971,13.642000000000001,1
507,508,10232123,CANDIDATE,1.343767797,133.27586200000002,0.8909999999999999,1.9405,4700.0,18.66,2654.0,11675.38,269.8,6324.0,3.8,2.312,299.70078,47.291752,13.056,1
511,512,8397675,CANDIDATE,0.5532618739999999,133.446605,1.246,0.8875,1040.0,97.36,3689.0,43709.08,202.2,5679.0,3.565,3.142,301.47577,44.319759000000005,13.501,1
535,536,8313667,CANDIDATE,30.5872153,162.8842,0.013000000000000001,5.3698,465.0,2.32,621.0,35.08,33.1,5944.0,4.38,1.082,296.54861,44.264671,14.142999999999999,0
539,540,9595686,CANDIDATE,3.1082511719999997,170.244566,0.9,2.5048,1870.0,4.43,1096.0,340.69,156.5,5330.0,4.495,0.847,294.79974,46.207569,15.360999999999999,0
540,541,9605514,CANDIDATE,25.8474958,188.87400000000002,0.054000000000000006,5.985,537.0,2.4,672.0,48.23,27.3,6297.0,4.448,1.031,297.9516,46.264721,15.083,0
541,542,9605514,CANDIDATE,40.715561,146.36485,0.008,6.894,681.0,2.7,578.0,26.34,28.9,6297.0,4.448,1.031,297.9516,46.264721,15.083,0
550,551,10141900,CANDIDATE,6.50327035,135.26657,0.08,2.591,418.0,1.67,804.0,98.81,19.0,4999.0,4.49,0.843,292.14447,47.157348999999996,15.692,0
551,552,10141900,CANDIDATE,4.09667624,133.09833,0.142,2.19,302.0,1.42,938.0,182.9,16.2,4999.0,4.49,0.843,292.14447,47.157348999999996,15.692,0
561,562,5297298,CANDIDATE,34.19360031,155.2966351,0.625,5.413819999999999,13700.0,21.95,778.0,86.74,1405.6,6129.0,3.991,1.786,297.36032,40.429809999999996,13.325,1
563,564,9772531,CANDIDATE,31.20169247,183.40761369999998,0.001,2.15663,34500.0,8.31,286.0,1.59,607.4,3748.0,4.796,0.449,292.65704,46.537338,15.798,0
572,573,4649305,CANDIDATE,22.65117451,140.337593,0.925,3.6895,2250.0,7.62,855.0,126.57,170.1,6968.0,4.31,1.3330000000000002,290.10332999999997,39.781631,13.682,0
574,575,10118816,CANDIDATE,7.71790675,139.15725,0.11199999999999999,1.84,307.0,0.9,502.0,15.01,12.6,3975.0,4.753,0.509,281.05011,47.188148,15.232999999999999,1
580,581,10295951,CANDIDATE,6.8108237229999995,136.04667,0.57,7.98574,14400.0,26.06,1626.0,1656.16,1441.9,7226.0,3.967,2.079,299.10281000000003,47.377781,12.628,1
596,597,3247268,CANDIDATE,12.21828097,140.32109499999999,0.778,2.6969,1840.0,5.1,835.0,114.59,90.1,5822.0,4.351,1.081,294.4335,38.35545,14.696,0
602,603,10354039,CANDIDATE,64.617518,166.14425,0.9,5.796,2490.0,5.4,383.0,5.09,61.9,5043.0,4.47,0.8809999999999999,297.01482999999996,47.486431,15.332,0
612,613,2164169,CANDIDATE,32.312286699999994,133.86700000000002,0.934,6.569,678.0,4.84,699.0,56.49,33.6,5821.0,4.1080000000000005,1.494,292.29098999999997,37.580799,14.757,0
613,614,2574338,CANDIDATE,9.22961384,138.43961000000002,0.067,2.235,492.0,2.79,1021.0,257.11,19.3,6320.0,4.3469999999999995,1.252,291.13849,37.859299,15.399000000000001,0
618,619,3329204,CANDIDATE,51.59809554,203.97991399999998,0.251,2.0153,5870.0,6.57,449.0,9.61,79.7,5681.0,4.551,0.8590000000000001,287.61688,38.402321,15.617,0
619,620,3230491,CANDIDATE,1500.0,315.33083,0.9243,7.109,9590.0,9.8,139.0,0.09,62.5,5606.0,4.5969999999999995,0.76,290.18304,38.321940999999995,14.709000000000001,0
629,630,1026957,CANDIDATE,21.76129812,166.540438,0.12300000000000001,1.2429999999999999,1300.0,2.53,486.0,13.18,60.0,4859.0,4.612,0.72,291.25449,36.74361,12.559000000000001,0
630,631,10002261,CANDIDATE,12.71379418,175.07256769999998,0.485,2.44093,36700.0,2.31,181.0,0.26,2981.3,2661.0,5.2829999999999995,0.11599999999999999,287.55972,46.957085,13.102,0
632,633,2162635,CANDIDATE,1500.1406769999999,176.08226000000002,0.9131,25.726999999999997,4130.0,18.35,206.0,0.42,83.3,5009.0,3.755,2.283,291.97754,37.532551,13.862,1
645,646,10337517,CANDIDATE,7.0539344879999994,136.35725300000001,0.899,1.7244,512.0,2.36,840.0,117.33,56.3,5357.0,4.498,0.863,291.06293,47.484798,13.915999999999999,0
647,648,10351231,CANDIDATE,7.6746614,133.22431,0.9390000000000001,1.9374,503.0,2.8,957.0,198.67,20.8,6063.0,4.47,1.001,296.13141,47.43882,15.44,0
661,662,7102227,CANDIDATE,0.764017553,132.2214,0.442,1.103,128.0,0.86,1589.0,1503.79,13.2,5142.0,4.602,0.755,286.41,42.681549,15.595999999999998,1
663,664,6837146,CANDIDATE,20.51360192,357.49424,0.703,3.4769,1170.0,2.58,540.0,20.15,32.3,5310.0,4.6080000000000005,0.7040000000000001,281.60541,42.390419,15.405999999999999,0
665,666,11122894,CANDIDATE,150.01895109999998,224.68571400000002,1.252,4.3823,4320.0,32.6,325.0,2.62,106.2,5618.0,4.46,0.897,283.20917000000003,48.777640999999996,14.232000000000001,1
668,669,11030711,CANDIDATE,205.912735,252.74129,0.196,9.992,2380.0,4.68,298.0,1.85,49.4,5644.0,4.457,0.9690000000000001,292.3515,48.511082,15.530999999999999,0
670,671,6607286,CANDIDATE,0.783276173,355.94865,0.040999999999999995,1.6735,265.0,1.98,2149.0,5056.88,46.9,5640.0,4.247,1.2329999999999999,292.17859,42.005909,15.005,1
671,672,6607286,CANDIDATE,3.17405898,357.05776000000003,0.42200000000000004,2.3156,282.0,2.09,1348.0,780.46,29.2,5640.0,4.247,1.2329999999999999,292.17859,42.005909,15.005,1
689,690,11075279,CANDIDATE,345.15893539999996,318.307719,0.87,7.5646,5090.0,7.79,241.0,0.8,197.9,5597.0,4.515,0.9309999999999999,287.02227999999997,48.681938,13.46,0
691,692,6607447,CANDIDATE,99.6442783,283.236289,0.966,5.1772,3220.0,8.48,415.0,6.98,163.2,6102.0,4.447,1.016,292.22839,42.03537,13.75,0
711,712,6441738,CANDIDATE,19.03723442,148.55057,0.033,3.3882,401.0,5.74,1051.0,288.04,25.3,5248.0,3.523,2.892,291.42755,41.878159000000004,14.898,0
